"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"HCC95","Pearson.est","ATPase inhibitor",-0.5272,-1.27,0.186,1057,0.497,"digitoxigenin, omeprazole, evodiamine, digoxin, oligomycin.a, NMS.873, k.strophanthidin, rabeprazole",0.730487055782084,0.303643611266668,FALSE
"HCC95","Pearson.est","Aurora kinase inhibitor",-0.65344,-1.59,0.0318,1085,0.271,"barasertib, GSK1070916, CCT137690, PF.03814735, MK.5108, alisertib, aurora.a.inhibitor.i, ENMD.2076, CCT129202, hesperadin, MLN.8054, MK.8745, CYC116, ZM.447439, TAK.901, danusertib, barasertib.HQPA, PHA.680632",1.49757288001557,0.567030709125594,FALSE
"HCC95","Pearson.est","bacterial 50S ribosomal subunit inhibitor",-0.45658,-1.12,0.318,1024,0.646,"tedizolid, valnemulin, azithromycin, radezolid",0.497572880015567,0.189767482004916,FALSE
"HCC95","Pearson.est","bacterial DNA gyrase inhibitor",0.56518,1.58,0.0733,116,0.225,"nadifloxacin, novobiocin, sparfloxacin",1.13489602535887,0.647817481888638,FALSE
"HCC95","Pearson.est","BCL inhibitor",0.53749,1.47,0.107,400,0.279,"oridonin, venetoclax, ABT.737, navitoclax, gossypol",0.97061622231479,0.554395796726402,FALSE
"HCC95","Pearson.est","Bcr.Abl kinase inhibitor",-0.24612,-0.59,0.909,1227,1,"metatinib, bosutinib",0.0414361167780325,0,FALSE
"HCC95","Pearson.est","benzodiazepine receptor agonist",-0.20328,-0.498,0.981,1064,1,"ZK.93423, ivermectin, bentazepam",0.0083309926200515,0,FALSE
"HCC95","Pearson.est","bromodomain inhibitor",-0.5225,-1.3,0.193,1029,0.463,"JQ1...., I.BET151, OTX015, I.BET.762",0.714442690992226,0.334419008982047,FALSE
"HCC95","Pearson.est","calcium channel blocker",-0.42758,-1.06,0.373,873,0.691,"tetrandrine, fendiline, carboxyamidotriazole, efonidipine.monoethanolate, penfluridol",0.428291168191312,0.160521952625802,FALSE
"HCC95","Pearson.est","CC chemokine receptor antagonist",-0.25951,-0.63,0.906,1044,1,"MK.0812, SB.225002, ZK811752",0.0428718023231869,0,FALSE
"HCC95","Pearson.est","CDK inhibitor",-0.60637,-1.47,0.0849,1012,0.386,"CR8..R., ribociclib, palbociclib, PHA.848125, dinaciclib, alvocidib, TG.02, aminopurvalanol.a, R547, arcyriaflavin.a, JNJ.7706621, indisulam, BMS.265246, PHA.793887, BMS.387032, AT.7519",1.07109230975605,0.413412695328245,FALSE
"HCC95","Pearson.est","CHK inhibitor",-0.39923,-0.975,0.489,765,0.784,"AZD7762, PF.477736, CHIR.124, LY2603618, SB.218078",0.31069114087638,0.105683937315562,FALSE
"HCC95","Pearson.est","cyclooxygenase inhibitor",-0.1866,-0.455,0.991,787,1,"indoprofen, sulfasalazine, curcumin, piroxicam, aspirin, phenazone, FR.122047, ramifenazone, FK.3311, tryptanthrin, amfenac",0.00392634551472468,0,FALSE
"HCC95","Pearson.est","cytochrome P450 inhibitor",0.62507,1.79,0.0261,181,0.167,"metyrapone, morin, clotrimazole",1.58335949266172,0.777283528852417,TRUE
"HCC95","Pearson.est","DNA alkylating agent",-0.28241,-0.687,0.819,1096,1,"cyclophosphamide, mitomycin.c, estramustine, dacarbazine",0.0867160982395816,0,FALSE
"HCC95","Pearson.est","DNA inhibitor",0.37521,1.02,0.411,248,0.524,"nimorazole, metronidazole, carboplatin, bendamustine, pibenzimol, nithiamide, carmustine",0.386158178123931,0.280668713016273,FALSE
"HCC95","Pearson.est","DNA methyltransferase inhibitor",-0.66148,-1.59,0.042,1146,0.271,"fdcyd, SGI.1027, azacitidine, decitabine",1.3767507096021,0.567030709125594,FALSE
"HCC95","Pearson.est","DNA polymerase inhibitor",-0.2787,-0.678,0.859,1380,1,"cephalomannine",0.0660068361687577,0,FALSE
"HCC95","Pearson.est","DNA synthesis inhibitor",-0.41843,-1.03,0.427,1211,0.727,"mitomycin.c, anisomycin, cyclocytidine, enocitabine",0.369572124974976,0.138465589140962,FALSE
"HCC95","Pearson.est","dopamine receptor antagonist",0.22873,0.63,0.87,144,1,"amisulpride, clebopride, ziprasidone",0.0604807473813815,0,FALSE
"HCC95","Pearson.est","estrogen receptor agonist",-0.3061,-0.738,0.765,1362,1,"levonorgestrel",0.116338564846382,0,FALSE
"HCC95","Pearson.est","estrogen receptor antagonist",0.42984,1.18,0.257,92,0.428,"danazol, toremifene",0.590066876668705,0.368556230986828,FALSE
"HCC95","Pearson.est","FGFR inhibitor",0.21958,0.616,0.898,202,0.977,"erdafitinib, orantinib",0.0467236633326956,0.0101054362812269,FALSE
"HCC95","Pearson.est","FLT3 inhibitor",0.20475,0.556,0.962,397,0.987,"GTP.14564, ponatinib, gilteritinib, midostaurin, KW.2449, dovitinib, tyrphostin.AG.1296, tandutinib",0.0168249279621871,0.00568284733036327,FALSE
"HCC95","Pearson.est","glucocorticoid receptor agonist",-0.40631,-0.988,0.459,1001,0.784,"betamethasone, methylprednisolone, halcinonide, difluprednate, clobetasol.propionate, flumethasone.pivalate, deflazacort, beclomethasone.dipropionate, triamcinolone.acetonide, halobetasol.propionate, ciclesonide, flumethasone, fluorometholone",0.338187314462739,0.105683937315562,FALSE
"HCC95","Pearson.est","glutamate receptor antagonist",-0.17529,-0.424,0.997,1344,0.995,"LY456236",0.00130484168834428,0.00217691925427455,FALSE
"HCC95","Pearson.est","glycogen synthase kinase inhibitor",0.73408,2.03,0,130,0.0522,"CHIR.98014, CHIR.99021, GSK.3.inhibitor.IX, tideglusib, LY2090314",Inf,1.28232949699774,TRUE
"HCC95","Pearson.est","growth factor receptor inhibitor",-0.55436,-1.33,0.161,935,0.455,"lestaurtinib, PHA.848125, GSK1838705A, danusertib, AZD3463",0.79317412396815,0.341988603342888,FALSE
"HCC95","Pearson.est","HCV inhibitor",0.24965,0.668,0.869,1088,0.993,"Ro.9187, embelin, mericitabine, daclatasvir, PSI.7976, narlaprevir",0.0609802235513335,0.00305075150461883,FALSE
"HCC95","Pearson.est","HDAC inhibitor",-0.38257,-0.928,0.537,847,0.851,"resminostat, R306465, RGFP966, chidamide, AR.42, belinostat, ACY.1215, M.344, trichostatin.a, NSC.3852, scriptaid, vorinostat, PCI.24781, JNJ.26481585, givinostat, dacinostat, SB.939",0.270025714300444,0.0700704399154121,FALSE
"HCC95","Pearson.est","histamine receptor antagonist",0.12867,0.35,1,1264,1,"epinastine, lafutidine, chloropyramine, nizatidine, famotidine, ICI.162846, cimetidine, pheniramine, tecastemizole, astemizole, ranitidine, tiotidine, cyproheptadine, zolantidine, BF2.649, terfenadine, levocetirizine, ebastine",0,0,FALSE
"HCC95","Pearson.est","HMGCR inhibitor",0.9154,2.5,0,128,0,"lovastatin, pitavastatin, fluvastatin, mevastatin, atorvastatin, simvastatin",Inf,Inf,TRUE
"HCC95","Pearson.est","HSP inhibitor",-0.58608,-1.4,0.116,931,0.375,"ganetespib, XL888, VER.49009, alvespimycin, NVP.AUY922, BIIB021, KW.2478, tanespimycin, PU.H71",0.935542010773082,0.425968732272281,FALSE
"HCC95","Pearson.est","JAK inhibitor",-0.53095,-1.31,0.193,1008,0.468,"baricitinib, AT.9283, LY2784544, WHI.P154, TG.02, AZD1480, ruxolitinib, AZ960, pacritinib, filgotinib, PRT062070",0.714442690992226,0.329754146925876,FALSE
"HCC95","Pearson.est","KIT inhibitor",-0.19135,-0.465,0.993,1033,1,"lenvatinib, vatalanib, cediranib, OSI.930",0.00305075150461883,0,FALSE
"HCC95","Pearson.est","MDM inhibitor",0.85188,2.36,0,71,0.00404,"AMG.232, idasanutlin, CGM097, nutlin.3",Inf,2.3936186348894,TRUE
"HCC95","Pearson.est","MEK inhibitor",0.43088,1.18,0.267,392,0.428,"refametinib, BIX.02188, cobimetinib, U.0126, TAK.733, MEK1.2.inhibitor, PD.184352, MEK162",0.573488738635425,0.368556230986828,FALSE
"HCC95","Pearson.est","MET inhibitor",0.60658,1.68,0.0458,213,0.226,"PHA.665752, NVP.BVU972, AMG458",1.33913452199613,0.645891560852599,TRUE
